text,label
The service was not helpful and a manager is requested,complaint
The order arrived in a damaged condition,complaint
The application is experiencing technical issues during use,complaint
There has been a long delay without any updates on the ticket,complaint
The received item is different from the description online,complaint
Information about mental health support services is requested,self_harm_or_suicide_risk
Where can local crisis resources be found?,self_harm_or_suicide_risk
A request for immediate assistance from a support professional,self_harm_or_suicide_risk
Are there any available helplines for emotional support?,self_harm_or_suicide_risk
Support is needed for someone experiencing a difficult time,self_harm_or_suicide_risk
What is the current status of the package shipment?,logistics
Is it possible to update the delivery address for this order?,logistics
Which carrier is used for standard domestic shipping?,logistics
Is there an option for expedited overnight delivery?,logistics
What is the estimated timeframe for international transit?,logistics
A request to cancel the order before processing,refund
What is the typical timeframe for a refund to be processed?,refund
Information on the return process for items that do not fit,refund
Is store credit an option instead of a direct refund?,refund
What are the requirements for returning a opened product?,refund
Is this specific product designed to be waterproof?,product_inquiry
Is there stock available for size ten in the black colorway?,product_inquiry
Suggestions for a laptop suitable for educational use,product_inquiry
Are the materials used in this product sustainably sourced?,product_inquiry
Does the package include a charging cable by default?,product_inquiry
The account password reset link appears to be non-functional,technical_support
A server error occurred during the checkout process,technical_support
The promotional code is not being applied to the total,technical_support
There is an issue logging in via third-party authentication,technical_support
The video content on the website is not loading properly,technical_support
What payment methods are currently accepted at checkout?,payment
There appears to be a duplicate charge on the billing statement,payment
A copy of the tax invoice is requested for this transaction,payment
Are there any discounts available for new customers?,payment
Is there a specific pricing tier for bulk or wholesale orders?,payment
What are the operating hours for the physical store locations?,general_question
Is the company currently seeking new applicants for employment?,general_question
Information regarding the design of the website layout,general_question
How does the customer loyalty program function?,general_question
What are the terms and conditions for the current contest?,general_question
unrecognizable text input 5678,unknown
the message is acknowledged,unknown
general philosophical inquiry,unknown
random alphanumeric string for testing,unknown
testing the input field 1 2 3,unknown
