text,label
How to handle customers who insist on cashback before leaving a positive review?,complaint
The service was not helpful and a manager is requested,complaint
The order arrived in a damaged condition,complaint
The application is experiencing technical issues during use,complaint
There has been a long delay without any updates on the ticket,complaint
The received item is different from the description online,complaint
This is the worst customer service experience I have ever had,complaint
My item is completely defective and doesn't turn on,complaint
The product quality is extremely poor compared to the pictures,complaint
Your agent was incredibly rude to me on the chat support,complaint
I've been waiting for hours and nobody has replied to my issue,complaint
The package arrived totally crushed and open,complaint
Your website is broken and it glitched during my transaction,complaint
I am very disappointed with how this situation was handled,complaint
The item is missing half of the parts that were supposed to be included,complaint
This service is completely unacceptable,complaint
I was promised a follow up yesterday but received nothing,complaint
The item started tearing after only one day of normal use,complaint
You charged me twice and your support is ignoring me,complaint
The solution provided by your team did not solve my problem,complaint
I want to file a formal complaint against this store,complaint
The product looks completely used and scratched up,complaint
This is not what I ordered at all,complaint
The application keeps crashing every time I try to submit a report,complaint
I am extremely angry about this massive delay,complaint
how to help customers who insist on cashback before leaving a positive review?,complaint
how to satisfy customers who insist on cashback before leaving a positive review?,complaint
how to assist customers who insist on cashback before leaving a positive review?,complaint
how to warn customers who insist on cashback before leaving a positive review?,complaint
how to attract customers who insist on cashback before leaving a positive review?,complaint
the service was not helpful and a manager is.,complaint
the service was not helpful and a manager is missing,complaint
the service was not helpful and a manager is unknown,complaint
the service was not helpful and a manager is?,complaint
the service was not helpful and a manager is lacking,complaint
the order arrived with a damaged condition,complaint
the order arrived from a damaged condition,complaint
the order arrived after a damaged condition,complaint
the order arrived at a damaged condition,complaint
an application is experiencing technical issues during use,complaint
this application is experiencing technical issues during use,complaint
each application is experiencing technical issues during use,complaint
software application is experiencing technical issues during use,complaint
there has been a long delay without any updates on google ticket,complaint
there has been a long delay without any updates on their ticket,complaint
there has been a long delay without any updates on this ticket,complaint
there has been a long delay without any updates on any ticket,complaint
the following item is different from the description online,complaint
the description item is different from the description online,complaint
the reference item is different from the description online,complaint
the missing item is different from the description online,complaint
the data item is different from the description online,complaint
this is the worst customer service experience i have experienced had,complaint
this is the worst customer service experience i have yet had,complaint
this is the worst customer service experience i have had had,complaint
this is the worst customer service experience i have never had,complaint
my phone is completely defective and doesn ' t turn on,complaint
my brain is completely defective and doesn ' t turn on,complaint
my battery is completely defective and doesn ' t turn on,complaint
my system is completely defective and doesn ' t turn on,complaint
my computer is completely defective and doesn ' t turn on,complaint
the image quality is extremely poor compared to the pictures,complaint
the sound quality is extremely poor compared to the pictures,complaint
the picture quality is extremely poor compared to the pictures,complaint
the print quality is extremely poor compared to the pictures,complaint
the audio quality is extremely poor compared to the pictures,complaint
your agent was incredibly rude to me during the chat support,complaint
your agent was incredibly rude to me using the chat support,complaint
your agent was incredibly rude to me regarding the chat support,complaint
your agent was incredibly rude to me without the chat support,complaint
your agent was incredibly rude to me over the chat support,complaint
i ' ve been waiting for hours and nobody has replied to my issue,complaint
i ' ve been waiting for hours and nobody has replied about my issue,complaint
i ' ve been waiting for hours and nobody has replied regarding my issue,complaint
i ' ve been waiting for hours and nobody has replied concerning my issue,complaint
i ' ve been waiting for hours and nobody has replied on my issue,complaint
the train arrived totally crushed and open,complaint
the fire arrived totally crushed and open,complaint
the ship arrived totally crushed and open,complaint
the bombs arrived totally crushed and open,complaint
the bomb arrived totally crushed and open,complaint
your website is broken when it glitched during my transaction,complaint
your website is broken because it glitched during my transaction,complaint
your website is broken if it glitched during my transaction,complaint
your website is broken whenever it glitched during my transaction,complaint
i am very disappointed with how the situation was handled,complaint
i am very disappointed with how our situation was handled,complaint
i am very disappointed with how my situation was handled,complaint
i am very disappointed with how that situation was handled,complaint
the item is missing half of the parts which were supposed to be included,complaint
the item is missing half of the parts it were supposed to be included,complaint
the item is missing half of the parts they were supposed to be included,complaint
the item is missing half of the parts and were supposed to be included,complaint
this equation is completely unacceptable,complaint
this rule is completely unacceptable,complaint
this condition is completely unacceptable,complaint
this situation is completely unacceptable,complaint
this approach is completely unacceptable,complaint
i had promised a follow up yesterday but received nothing,complaint
i have promised a follow up yesterday but received nothing,complaint
i originally promised a follow up yesterday but received nothing,complaint
i almost promised a follow up yesterday but received nothing,complaint
the item started tearing after just one day of normal use,complaint
the item started tearing after almost one day of normal use,complaint
the item started tearing after nearly one day of normal use,complaint
the item started tearing after approximately one day of normal use,complaint
they charged me twice and your support is ignoring me,complaint
he charged me twice and your support is ignoring me,complaint
she charged me twice and your support is ignoring me,complaint
i charged me twice and your support is ignoring me,complaint
any solution provided by your team did not solve my problem,complaint
whatever solution provided by your team did not solve my problem,complaint
this solution provided by your team did not solve my problem,complaint
a solution provided by your team did not solve my problem,complaint
we want to file a formal complaint against this store,complaint
consumers want to file a formal complaint against this store,complaint
you want to file a formal complaint against this store,complaint
• want to file a formal complaint against this store,complaint
the product was completely used and scratched up,complaint
the product is completely used and scratched up,complaint
the product gets completely used and scratched up,complaint
the product has completely used and scratched up,complaint
the product becomes completely used and scratched up,complaint
this is not what i believe at all,complaint
this is not what i am at all,complaint
this is not what i mean at all,complaint
this is not what i want at all,complaint
this is not what i think at all,complaint
the application keeps crashing every time i fail to submit a report,complaint
the application keeps crashing every time i need to submit a report,complaint
the application keeps crashing every time i want to submit a report,complaint
the application keeps crashing every time i decide to submit a report,complaint
i am extremely angry about the massive delay,complaint
i am extremely angry about our massive delay,complaint
i am extremely angry about my massive delay,complaint
i am extremely angry about your massive delay,complaint
how you handle customers who insist on cashback before leaving a positive review?,complaint
how they handle customers who insist on cashback before leaving a positive review?,complaint
how we handle customers who insist on cashback before leaving a positive review?,complaint
how companies handle customers who insist on cashback before leaving a positive review?,complaint
the service was not helpful and a reward is requested,complaint
the service was not helpful and a fee is requested,complaint
the service was not helpful and a copy is requested,complaint
the service was not helpful and a request is requested,complaint
the service was not helpful and a complaint is requested,complaint
the application is experiencing technical issues regarding use,complaint
the application is experiencing technical issues to use,complaint
the application is experiencing technical issues for use,complaint
the application is experiencing technical issues in use,complaint
the application is experiencing technical issues under use,complaint
there has been a long hiatus without any updates on the ticket,complaint
there has been a long period without any updates on the ticket,complaint
there has been a long run without any updates on the ticket,complaint
there has been a long absence without any updates on the ticket,complaint
each received item is different from the description online,complaint
every received item is different from the description online,complaint
a received item is different from the description online,complaint
this received item is different from the description online,complaint
this is the worst customer service plan i have ever had,complaint
this is the worst customer service failure i have ever had,complaint
this is the worst customer service offer i have ever had,complaint
this is the worst customer service offering i have ever had,complaint
my item is completely defective and i turn on,complaint
my item is completely defective and cannot turn on,complaint
my item is completely defective and must turn on,complaint
my item is completely defective and we turn on,complaint
my item is completely defective and will turn on,complaint
the product quality is extremely poor compared to motion pictures,complaint
the product quality is extremely poor compared to previous pictures,complaint
the product quality is extremely poor compared to digital pictures,complaint
the product quality is extremely poor compared to conventional pictures,complaint
the product quality is extremely poor compared to traditional pictures,complaint
your agent was incredibly rude to me on the chat.,complaint
your agent was incredibly rude to me on the chat ;,complaint
your agent was incredibly rude to me on the chat!,complaint
your agent was incredibly rude to me on the chat session,complaint
your agent was incredibly rude to me on the chat?,complaint
i ' ve been waiting for answers and nobody has replied to my issue,complaint
i ' ve been waiting for advice and nobody has replied to my issue,complaint
i ' ve been waiting for you and nobody has replied to my issue,complaint
i ' ve been waiting for questions and nobody has replied to my issue,complaint
i ' ve been waiting for feedback and nobody has replied to my issue,complaint
the package arrived all crushed and open,complaint
"the package arrived, crushed and open",complaint
the package arrived completely crushed and open,complaint
the package arrived freshly crushed and open,complaint
the package arrived with crushed and open,complaint
your website is broken and it crashed during my transaction,complaint
your website is broken and it disappears during my transaction,complaint
your website is broken and it crashes during my transaction,complaint
your website is broken and it explodes during my transaction,complaint
your website is broken and it fails during my transaction,complaint
i am very disappointed with how this situation is handled,complaint
i am very disappointed with how this situation has handled,complaint
i am very disappointed with how this situation gets handled,complaint
i am very disappointed with how this situation got handled,complaint
the item is missing half of the parts that are supposed to be included,complaint
the item is missing half of the parts that was supposed to be included,complaint
the item is missing half of the parts that is supposed to be included,complaint
the item is missing half of the parts that be supposed to be included,complaint
this service is considered unacceptable,complaint
this service is deemed unacceptable,complaint
this service is therefore unacceptable,complaint
this service is very unacceptable,complaint
this service is highly unacceptable,complaint
i was promised a follow up tour but received nothing,complaint
i was promised a follow up novel but received nothing,complaint
i was promised a follow up interview but received nothing,complaint
i was promised a follow up contract but received nothing,complaint
i was promised a follow up letter but received nothing,complaint
the item started tearing after only one week of normal use,complaint
the item started tearing after only one month of normal use,complaint
the item started tearing after only one hour of normal use,complaint
the item started tearing after only one minute of normal use,complaint
you charged me twice and your support for ignoring me,complaint
you charged me twice and your support continued ignoring me,complaint
you charged me twice and your support was ignoring me,complaint
you charged me twice and your support by ignoring me,complaint
you charged me twice and your support from ignoring me,complaint
the solution provided by your team did not solve my?,complaint
the solution provided by your team did not solve my dilemma,complaint
the solution provided by your team did not solve my problems,complaint
the solution provided by your team did not solve my.,complaint
i want to file a formal lawsuit against this store,complaint
i want to file a formal injunction against this store,complaint
i want to file a formal suit against this store,complaint
i want to file a formal protest against this store,complaint
the product looks completely used when scratched up,complaint
the product looks completely used or scratched up,complaint
the product looks completely used but scratched up,complaint
the product looks completely used. scratched up,complaint
this is not something i ordered at all,complaint
this is not anything i ordered at all,complaint
this is not that i ordered at all,complaint
this is not why i ordered at all,complaint
the application keeps crashing each time i try to submit a report,complaint
