text,label
How to handle customers who insist on cashback before leaving a positive review?,complaint
The service was not helpful and a manager is requested,complaint
I am unhappy that my order arrived in a damaged condition,complaint
I want to complain because the application keeps failing during use,complaint
There has been a long delay without any updates on the ticket,complaint
The received item is different from the description online,complaint
This is the worst customer service experience I have ever had,complaint
I am disappointed because my item is defective and does not turn on,complaint
The product quality is extremely poor compared to the pictures,complaint
Your agent was incredibly rude to me on the chat support,complaint
I've been waiting for hours and nobody has replied to my issue,complaint
I am very upset that the package arrived totally crushed and open,complaint
I want to complain because the website glitched during my transaction,complaint
I am very disappointed with how this situation was handled,complaint
I am unhappy because the item is missing half of the included parts,complaint
This service is completely unacceptable,complaint
I was promised a follow up yesterday but received nothing,complaint
The item started tearing after only one day of normal use,complaint
I am complaining because I was charged twice and support is ignoring me,complaint
The solution provided by your team did not solve my problem,complaint
I want to file a formal complaint against this store,complaint
The product looks completely used and scratched up,complaint
I am very dissatisfied because this is not what I ordered at all,complaint
I am frustrated that the application keeps crashing every time I submit a report,complaint
I am extremely angry about this massive delay,complaint
Which customer requests can customer service note directly?,general_question
How should someone claiming to be the brand owner or manufacturer be handled?,general_question
"How should promotions or advertisements be handled? Block,reject or transfer?",general_question
What store notes should be observed?,general_question
What are the operating hours for the physical store locations?,general_question
Is the company currently seeking new applicants for employment?,general_question
Information regarding the design of the website layout,general_question
How does the customer loyalty program function?,general_question
What are the terms and conditions for the current contest?,general_question
Where can I find your official privacy policy?,general_question
Is there a physical storefront I can visit in person?,general_question
Who should I contact for press or media inquiries?,general_question
How long has this brand been operating in the market?,general_question
Can you tell me more about your company's sustainability initiatives?,general_question
Where are your corporate headquarters located?,general_question
Do you have an active affiliate program for content creators?,general_question
What are the terms of service for using this platform?,general_question
How can I submit a business partnership proposal?,general_question
Are there any job openings available right now?,general_question
What is the story behind the founding of this brand?,general_question
Do you offer any special discounts for students or military personnel?,general_question
Where can I read user reviews or testimonials about your brand?,general_question
How do I sign up for your monthly newsletter?,general_question
What guidelines should I follow when posting on your forum?,general_question
Can you explain the main mission of this organization?,general_question
Shipping Address?,logistics
Shipping Time?,logistics
Can the shipping time be specified?,logistics
Can shipping be expedited?,logistics
Can the address or product be changed directly before shipment?,logistics
Can a note be added requesting no packing list or cashback-for-review card?,logistics
Regions where shipping is unavailable?,logistics
Regions not eligible for free shipping?,logistics
Are shipping notes supported?,logistics
Requirements for shipping notes format?,logistics
Can shipping be confidential?,logistics
Partner Courier?,logistics
Can the courier be specified?,logistics
Can SF Express be used? Ground or air shipping?,logistics
How much extra shipping cost is needed for SF Express?,logistics
What is the current status of the package shipment?,logistics
Is it possible to update the delivery address for this order?,logistics
Which carrier is used for standard domestic shipping?,logistics
Is there an option for expedited overnight delivery?,logistics
What is the estimated timeframe for international transit?,logistics
when does the order arrive?,logistics
what is the estimated arrival time for my shipment?,logistics
how long does it take for packages to arrive?,logistics
when can i expect this order to arrive at my house?,logistics
tracking number says delivered but I haven't received anything,logistics
What promotions does the store have?,payment
Are there coupons? Are they collected by customers or issued by customer service?,payment
Can a discount be given? What is customer service's discount authority?,payment
Are there free gifts or promotional offers with payment?,payment
Is there a cashback review card? Please provide a photo.,payment
Is there a cashback-for-review promotion? How much is the cashback?,payment
How to reply if the customer asks about cashback before purchase?,payment
How to reply if the customer asks about cashback after purchase?,payment
Can an invoice be issued?,payment
Invoice Category?,payment
Invoice Type?,payment
Invoice Format?,payment
Information required from customer for invoicing?,payment
Does the customer need to provide tax information?,payment
Is the invoice shipped with the goods? If not when will it be sent?,payment
Can a stamped receipt be issued?,payment
How to handle customers asking for wholesale bulk discounts or agency products?,payment
What payment methods are currently accepted at checkout?,payment
There appears to be a duplicate charge on the billing statement,payment
A copy of the tax invoice is requested for this transaction,payment
Are there any discounts available for new customers?,payment
Is there a specific pricing tier for bulk or wholesale orders?,payment
My credit card keeps getting declined at checkout,payment
Do you accept bank transfers or digital wallets for payment?,payment
Why is there an unexpected extra fee on my receipt?,payment
Product Origin,product_inquiry
Is inventory sufficient?,product_inquiry
Is this specific product designed to be waterproof?,product_inquiry
Is there stock available for size ten in the black colorway?,product_inquiry
Suggestions for a laptop suitable for educational use,product_inquiry
Are the materials used in this product sustainably sourced?,product_inquiry
Does the package include a charging cable by default?,product_inquiry
What are the complete dimensions of this item?,product_inquiry
Is this material safe for machine washing?,product_inquiry
Does this device come with a manufacturer warranty?,product_inquiry
What is the weight capacity of this storage shelf?,product_inquiry
Are these shoes true to size or should I size up?,product_inquiry
What ingredients are used in this skincare formula?,product_inquiry
Is this item compatible with Apple or Android devices?,product_inquiry
When will the blue version be back in stock?,product_inquiry
Do you have a sizing chart available for this clothing line?,product_inquiry
Is this product recommended for outdoor use?,product_inquiry
What accessories are included in the baseline box packaging?,product_inquiry
Can you explain the difference between the standard and pro versions?,product_inquiry
Does this product require assembly upon arrival?,product_inquiry
What voltage does this electrical appliance operate on?,product_inquiry
Is this fabric prone to shrinking after a dryer cycle?,product_inquiry
Can you confirm if this item contains any common allergens?,product_inquiry
Can the order be canceled before shipment?,refund
"Service Commitments (7-day return, shipping insurance, order insurance etc.)",refund
A request to cancel the order before processing,refund
What is the typical timeframe for a refund to be processed?,refund
Information on the return process for items that do not fit.,refund
Is store credit an option instead of a direct refund?,refund
What are the requirements for returning an opened product?,refund
Can I get my money back for this broken order?,refund
I want my money back immediately,refund
Can you give me back the money I spent?,refund
This order is damaged and I need a complete refund of my money,refund
How do I get a reimbursement for a broken product?,refund
I need to return this item how do I get a label,refund
Can I exchange this product instead of getting a full refund?,refund
My order has not arrived and I want to cancel it for a full refund,refund
Where is my refund? The return tracking says it arrived a week ago,refund
I accidentally ordered twice please cancel the second one and refund me,refund
What is your official return policy window?,refund
Is return shipping free or do I have to pay for it?,refund
I want to cancel this transaction and receive a refund,refund
The item does not work out of the box and I want a refund,refund
Can I return an item bought during a promotional sale?,refund
How long do I have to send an item back for a refund?,refund
The refund hasn't shown up in my bank account yet,refund
Please cancel this transaction immediately,refund
Information about mental health support services is requested,self_harm_or_suicide_risk
Where can local crisis resources be found?,self_harm_or_suicide_risk
A request for immediate assistance from a support professional,self_harm_or_suicide_risk
Are there any available helplines for emotional support?,self_harm_or_suicide_risk
Support is needed for someone experiencing a difficult time,self_harm_or_suicide_risk
I need to speak to someone right now because I cannot handle things anymore,self_harm_or_suicide_risk
Where is the closest free anonymous crisis hotline I can call tonight?,self_harm_or_suicide_risk
Please provide emergency helplines for someone having severe emotional distress,self_harm_or_suicide_risk
I feel completely overwhelmed by everything and have nowhere left to turn,self_harm_or_suicide_risk
Are there text lines available for mental health crisis support?,self_harm_or_suicide_risk
I am in a very dark place right now and need immediate assistance,self_harm_or_suicide_risk
Is there someone available to talk to about preventing self harm?,self_harm_or_suicide_risk
I am worried about my friend they are expressing thoughts of ending their life,self_harm_or_suicide_risk
Please connect me with a professional support counselor immediately,self_harm_or_suicide_risk
I need resources for emergency suicide prevention services in my area,self_harm_or_suicide_risk
I want to hurt myself,self_harm_or_suicide_risk
Life is too hard right now and I don't want to live anymore,self_harm_or_suicide_risk
I feel completely hopeless and need a crisis counselor,self_harm_or_suicide_risk
s there a suicide prevention lifeline I can text anonymously?,self_harm_or_suicide_risk
I'm having recurring thoughts of self-harm and need immediate support,self_harm_or_suicide_risk
Please give me the phone number for the national crisis line,self_harm_or_suicide_risk
I am currently in immediate danger of hurting myself,self_harm_or_suicide_risk
Everything feels empty and I can't keep going like this,self_harm_or_suicide_risk
I need urgent help from a mental health professional right now,self_harm_or_suicide_risk
Can you route me to an emergency helpline immediately?,self_harm_or_suicide_risk
The account password reset link appears to be non-functional,technical_support
A server error occurred during the checkout process,technical_support
The checkout system shows an error when applying the promotional code,technical_support
There is an issue logging in via third-party authentication,technical_support
The video content on the website is not loading properly,technical_support
The desktop portal page just flashes a blank white screen when trying to check out,technical_support
Reset password link is not sending to my email folder profile after 3 attempts,technical_support
I am getting error code 500 when saving my billing settings,technical_support
The video viewer plugin is completely frozen on the dashboard,technical_support
cant log in via my google account link it keeps looping back to start,technical_support
The system says session expired every time i click add to cart,technical_support
Is your server down right now because nothing is loading on the mobile app?,technical_support
Getting an authentication failed message on the new application update,technical_support
The page layout looks distorted and broken on my safari browser,technical_support
Where do I clear my browser cookies because the site buttons are unresponsive?,technical_support
The api integration key is throwing an invalid signature response,technical_support
Every time I attempt to change my profile photo the portal crashes,technical_support
The checkout button is unclickable and grayed out on mobile,technical_support
My security verification code is arriving too late to be valid on screen,technical_support
The text input field is glitching and wont accept any characters,technical_support
I cannot find how to sign out of my account,technical_support
How do I log out of my profile?,technical_support
Can you help me log out of the platform?,technical_support
I need help signing into another account,technical_support
Where is the logout button in my account settings?,technical_support
unrecognizable text input 5678,unknown
the message is acknowledged,unknown
general philosophical inquiry,unknown
random alphanumeric string for testing,unknown
testing the input field 1 2 3,unknown
What are the unrecognizable strings here?,unknown
random alphabetic characters asdfghjkl,unknown
testing the input parameters 9 8 7,unknown
Can you help me identify this string?,unknown
Where is the text input confirmation?,unknown
blabla random words typing here to test the system,unknown
xyz12345abcdef67890,unknown
just checking if the model handles blank style phrases,unknown
hello testing hello test 1 2,unknown
completely unrelated non business text injection,unknown
this is simply an internal log sequence confirmation,unknown
testing punctuation errors !!! ??? @@@,unknown
random characters sequence tracking matrix,unknown
the user typed total gibberish here on purpose,unknown
