text,label
Is there a brand?,product_inquiry
Brand Introduction,product_inquiry
Product Origin,product_inquiry
Shipping Address?,logistics
Shipping Time?,logistics
Is inventory sufficient?,product_inquiry
Can the shipping time be specified?,logistics
Can shipping be expedited?,logistics
Can the order be canceled before shipment?,refund
Can the address or product be changed directly before shipment?,logistics
Can a note be added requesting no packing list or cashback-for-review card?,logistics
Regions where shipping is unavailable?,logistics
Regions not eligible for free shipping?,logistics
Are shipping notes supported?,logistics
Which customer requests can customer service note directly?,general_question
Requirements for shipping notes format?,logistics
Can shipping be confidential?,logistics
Partner Courier?,logistics
Can the courier be specified?,logistics
Can SF Express be used? Ground or air shipping?,logistics
How much extra shipping cost is needed for SF Express?,logistics
What promotions does the store have?,payment
Are there coupons? Are they collected by customers or issued by customer service?,payment
Can a discount be given? What is customer service's discount authority?,payment
Are there gifts?,payment
Is there a cashback review card? Please provide a photo.,payment
Is there a cashback-for-review promotion? How much is the cashback?,payment
How to handle customers who insist on cashback before leaving a positive review?,complaint
How to reply if the customer asks about cashback before purchase?,payment
How to reply if the customer asks about cashback after purchase?,payment
"Service Commitments (7-day return, shipping insurance, order insurance, etc.)",refund
Can an invoice be issued?,payment
Invoice Category?,payment
Invoice Type?,payment
Invoice Format?,payment
Information required from customer for invoicing?,payment
Does the customer need to provide tax information?,payment
"Is the invoice shipped with the goods? If not, when will it be sent?",payment
Can a stamped receipt be issued?,payment
"How to handle customers asking for wholesale, bulk discounts, or agency products?",payment
How should someone claiming to be the brand owner or manufacturer be handled?,general_question
"How should promotions or advertisements be handled? Block, reject, or transfer?",general_question
What store notes should be observed?,general_question
