text,label
Is there a brand?,product_inquiry
is it a brand?,product_inquiry
is there a brand?,product_inquiry
is this a brand?,product_inquiry
is that a brand?,product_inquiry
is she a brand?,product_inquiry
was there a brand?,product_inquiry
are there a brand?,product_inquiry
am there a brand?,product_inquiry
does there a brand?,product_inquiry
is there a?,product_inquiry
is there a.,product_inquiry
is there a!,product_inquiry
is there a ;,product_inquiry
is there a chance,product_inquiry
is there another brand?,product_inquiry
is there any brand?,product_inquiry
is there your brand?,product_inquiry
is there one brand?,product_inquiry
Brand Introduction,product_inquiry
Product Origin,product_inquiry
Shipping Address?,logistics
Shipping Time?,logistics
Is inventory sufficient?,product_inquiry
any inventory sufficient?,product_inquiry
minimum inventory sufficient?,product_inquiry
sufficient inventory sufficient?,product_inquiry
adequate inventory sufficient?,product_inquiry
what inventory sufficient?,product_inquiry
is it sufficient?,product_inquiry
is this sufficient?,product_inquiry
is prayer sufficient?,product_inquiry
is that sufficient?,product_inquiry
is food sufficient?,product_inquiry
is inventory.,product_inquiry
is inventory ;,product_inquiry
is inventory :,product_inquiry
is inventory >,product_inquiry
is inventory?,product_inquiry
Can the shipping time be specified?,logistics
can the shipping time be specified?,logistics
can the shipping time are specified?,logistics
can the shipping time become specified?,logistics
can the shipping time is specified?,logistics
can the shipping time been specified?,logistics
can the shipping time be?,logistics
can the shipping time be.,logistics
can the shipping time be measured,logistics
can the shipping time be calculated,logistics
can the shipping time be fixed,logistics
can the shipping volume be specified?,logistics
can the shipping rate be specified?,logistics
can the shipping speed be specified?,logistics
can the shipping capacity be specified?,logistics
can the shipping distance be specified?,logistics
can the exact time be specified?,logistics
can the running time be specified?,logistics
can the computation time be specified?,logistics
can the execution time be specified?,logistics
can the flight time be specified?,logistics
shall the shipping time be specified?,logistics
should the shipping time be specified?,logistics
will the shipping time be specified?,logistics
would the shipping time be specified?,logistics
can maximum shipping time be specified?,logistics
can minimum shipping time be specified?,logistics
can average shipping time be specified?,logistics
can total shipping time be specified?,logistics
Can shipping be expedited?,logistics
shall shipping be expedited?,logistics
can shipping be expedited?,logistics
should shipping be expedited?,logistics
will shipping be expedited?,logistics
could shipping be expedited?,logistics
can shipping be.,logistics
can shipping be?,logistics
can shipping be ;,logistics
can shipping be measured,logistics
can shipping be done,logistics
can it be expedited?,logistics
can this be expedited?,logistics
can miracles be expedited?,logistics
can nothing be expedited?,logistics
can error be expedited?,logistics
can shipping costs expedited?,logistics
can shipping operations expedited?,logistics
can shipping travel expedited?,logistics
can shipping delay expedited?,logistics
Can the order be canceled before shipment?,refund
can the order be canceled before shipment?,refund
can the order get canceled before shipment?,refund
can the order been canceled before shipment?,refund
can the order stay canceled before shipment?,refund
can the order remain canceled before shipment?,refund
can the shipment be canceled before shipment?,refund
can the tickets be canceled before shipment?,refund
can the shipments be canceled before shipment?,refund
can the orders be canceled before shipment?,refund
can the contract be canceled before shipment?,refund
will the order be canceled before shipment?,refund
would the order be canceled before shipment?,refund
should the order be canceled before shipment?,refund
shall the order be canceled before shipment?,refund
can the order be revoked before shipment?,refund
can the order be cancelled before shipment?,refund
can the order be placed before shipment?,refund
can the order be delivered before shipment?,refund
can the order be canceled before?,refund
can the order be canceled before.,refund
can the order be canceled before ;,refund
can the order be canceled before :,refund
can the order be canceled before cancellation,refund
can the order be canceled pending shipment?,refund
can the order be canceled upon shipment?,refund
can the order be canceled after shipment?,refund
can the order be canceled on shipment?,refund
can this order be canceled before shipment?,refund
can mail order be canceled before shipment?,refund
can an order be canceled before shipment?,refund
can your order be canceled before shipment?,refund
Can the address or product be changed directly before shipment?,logistics
