text,label
when can i expect your order to arrive at my house?,logistics
your agent was incredibly rude to me on the chat session,complaint
what is the estimated timeframe for international trade,logistics
please provide emergency helplines for someone with severe emotional distress,self_harm_or_suicide_risk
the solution presented by your team did not solve my problem,complaint
can the order be delivered before shipment?,refund
can you define the main mission of this organization?,general_question
is there a cashback - for - review promotion? how much is the profit,payment
is there someone available to talk to people preventing self harm?,self_harm_or_suicide_risk
i feel completely hopeless but need a crisis counselor,self_harm_or_suicide_risk
the checkout button is unclickable and grayed out on.,technical_support
there appears to be a duplicate charge regarding the billing statement,payment
what is the estimated timeframe for international trade,logistics
does the package include a charging button by default?,product_inquiry
where is the money? the return tracking says it arrived a week ago,refund
can you confirm if this item contains any common items,product_inquiry
can the courier function specified?,logistics
can the addressplate product be changed directly before shipment?,logistics
what guidelines should i follow when posting on your page,general_question
i need to log into another account,technical_support
do you route me to an emergency helpline immediately?,self_harm_or_suicide_risk
what determines the weight capacity of this storage shelf?,product_inquiry
regions not allowed for free shipping?,logistics
what is the typical timeframe for a refund can be processed?,refund
did this device come with a manufacturer warranty?,product_inquiry
shall i exchange this product instead of getting a full refund?,refund
i am worried about my friend they are expressing thoughts of ruining their life,self_harm_or_suicide_risk
where is the closest free anonymous crisis call i can call tonight?,self_harm_or_suicide_risk
s there a suicide prevention lifeline i can contact anonymously?,self_harm_or_suicide_risk
who should i call for press or media inquiries?,general_question
hello testing hello test 1 ;,unknown
where could local crisis resources be found?,self_harm_or_suicide_risk
the video content on the website was not loading properly,technical_support
do you offer us special discounts for students or military personnel?,general_question
the text input field is glitching and wont acceptable characters,technical_support
is there stock code for size ten in the black colorway?,product_inquiry
checking an evaluation metrics strings,unknown
is there a cashback id card? please provide a photo.,payment
requirements for shipping notes :,logistics
what ingredients are used in this skincare ;,product_inquiry
where can i read user reviews or articles about your brand?,general_question
how to reply whenever the customer asks about cashback before purchase?,payment
i was promised a followout yesterday but received nothing,complaint
what are the requirements on returning an opened product?,refund
the page layout looks distorted and broken on my safari maps,technical_support
how did i log out of my profile?,technical_support
the package remains totally crushed and open,complaint
can you remind me more about your company ' s sustainability initiatives?,general_question
are shipping notes issued,logistics
what are these terms of service for using this platform?,general_question
tracking number says delivered but i haven ' t received messages,logistics
what guidelines should i follow by posting on your forum?,general_question
where can i find your official health policy?,general_question
is there a cashback payment card? please provide a photo.,payment
i need to speak to him right now because i cannot handle things anymore,self_harm_or_suicide_risk
a copy of the relevant invoice is requested for this transaction,payment
can you help me cut this string?,unknown
Can the address or product be changed directly before shipment?,logistics
is there a specific pricing structure for bulk or wholesale orders?,payment
regions where shipping is prohibited,logistics
i am extremely angry about this massive disaster,complaint
ships not eligible for free shipping?,logistics
is this item compatible on apple or android devices?,product_inquiry
when will the blue version be back in?,product_inquiry
do this product require assembly upon arrival?,product_inquiry
i almost promised a follow up yesterday but received nothing,complaint
the application is experiencing technical difficulty during use,complaint
the application is handling technical issues during use,complaint
can the shipping volume be specified?,logistics
do you have a sizing line available for this clothing line?,product_inquiry
i need resources for emergency suicide detection services in my area,self_harm_or_suicide_risk
i am in a very dark place right now and need spiritual assistance,self_harm_or_suicide_risk
permission required from customer for invoicing?,payment
Is inventory sufficient?,product_inquiry
this rule is completely unacceptable,complaint
i feel completely overwhelmed by everything and have nowhere left to cry,self_harm_or_suicide_risk
random alphanumeric stringwise testing,unknown
should shipping be expedited?,logistics
they want to close this transaction and reverse the payment,refund
how long does it take for packages to arrive?,logistics
i am getting account code 500 when saving my billing settings,technical_support
i ' m having recurring thoughts of self - harm and need immediate.,self_harm_or_suicide_risk
can anyone route me to an emergency helpline immediately?,self_harm_or_suicide_risk
this service is very unacceptable,complaint
i want to file a formal suit against this store,complaint
why can i submit a business partnership proposal?,general_question
the application is experiencing compatibility issues during use,complaint
the theorem is acknowledged,unknown
i need to check into another account,technical_support
where is the initial input confirmation?,unknown
is your server busy right now because nothing is loading on the mobile app?,technical_support
qwertyuiophon verification test,unknown
when can i expect this order would arrive at my house?,logistics
i am using error code 500 when saving my billing settings,technical_support
do you accept bank transfers or electronic wallets for payment?,payment
qwertyuiop layout verification test,unknown
do there text lines available for mental health crisis support?,self_harm_or_suicide_risk
is there someone available to talk to anyone preventing self harm?,self_harm_or_suicide_risk
i ' ve been waiting for hours. nobody has replied to my issue,complaint
can anybody help me log out?,technical_support
the video viewer feed is completely frozen on the dashboard,technical_support
is there a cashback - for - review promotion? how much becomes the cashback?,payment
what payment methods are currently accepted at.,payment
i feel suddenly overwhelmed by everything and have nowhere left to turn,self_harm_or_suicide_risk
